campaign_id,campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,creative_size,ad_copy_length,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,quarter,day_of_week,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,avg_session_duration_seconds,pages_per_session,industry_vertical,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit
CAMP_00042,Lead Generation,Google Ads,Display Network,Desktop,Windows,Carousel,320x50,Medium,True,Urgency,32,45-54,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-06-21,2,Saturday,11,61,7,2.24,168851,4430,98,9923.2,63064.56,61.63,80,2.92,Healthcare,Medium,2.624,2.24,2.212,101.26,6.36,53141.36
CAMP_00043,Brand Awareness,Google Ads,Search,Mobile,Windows,Video,1920x1080,Short,True,Urgency,23,25-34,Male,Gamers,<$50K,Low,True,2025-08-30,3,Saturday,3,77,8,5.49,54524,2674,31,14680.26,17313.01,64.66,27,1.63,Healthcare,Medium,4.904,5.49,1.159,473.56,1.18,2632.75
CAMP_00044,App Installs,LinkedIn,Feed,Desktop,iOS,Carousel,1920x1080,Short,True,Trust,83,35-44,Male,Shoppers,$50K-$100K,Low,False,2024-02-06,1,Tuesday,4,31,5,11.88,7260,137,3,1627.56,1712.75,72.97,74,2.19,Healthcare,High,1.887,11.88,2.19,542.52,1.05,85.19
CAMP_00045,Lead Generation,TikTok,Feed,Desktop,iOS,Image,1080x1080,Short,True,Joy,46,35-44,Male,Gamers,$100K-$200K,Medium,False,2025-08-01,3,Friday,18,69,7,0.8,74932,1552,58,1241.6,45187.49,41.99,113,2.34,Finance,Low,2.071,0.8,3.737,21.41,36.39,43945.89
CAMP_00046,Conversions,LinkedIn,Display Network,Mobile,macOS,Image,1920x1080,Medium,False,Trust,17,25-34,Female,Health & Fitness,$50K-$100K,Low,False,2024-07-23,3,Tuesday,6,40,3,6.16,18241,126,0,776.16,0.0,74.26,152,3.37,Healthcare,Medium,0.691,6.16,0.0,0.0,0.0,-776.16
CAMP_00047,Lead Generation,Google Ads,Feed,Desktop,Android,Video,1200x628,Short,False,Fear,53,35-44,Female,Business Professionals,$50K-$100K,Medium,False,2025-11-24,4,Monday,2,36,5,4.97,26871,1106,118,5496.82,97322.07,40.69,172,1.0,Finance,Medium,4.116,4.97,10.669,46.58,17.71,91825.25
CAMP_00048,Lead Generation,Google Ads,Feed,Mobile,Windows,Image,1920x1080,Medium,False,Curiosity,52,25-34,Male,Gamers,$50K-$100K,High,False,2024-04-26,2,Friday,8,68,5,3.84,35780,516,11,1981.44,3140.26,48.72,104,4.94,Healthcare,Medium,1.442,3.84,2.132,180.13,1.58,1158.82
CAMP_00049,Lead Generation,TikTok,Stories,Mobile,macOS,Carousel,1200x628,Medium,False,Joy,50,35-44,Female,Business Professionals,<$50K,Medium,False,2025-04-09,2,Wednesday,1,42,5,0.67,72882,922,5,617.74,616.58,46.35,114,1.93,Gaming,High,1.265,0.67,0.542,123.55,1.0,-1.16
CAMP_00050,Brand Awareness,Instagram,In-Stream Video,Tablet,Android,Carousel,1920x1080,Short,False,Urgency,42,45-54,Male,Students,$100K-$200K,Medium,False,2024-11-02,4,Saturday,17,81,4,3.91,85584,1313,5,5133.83,3867.59,43.36,99,2.52,Healthcare,Medium,1.534,3.91,0.381,1026.77,0.75,-1266.24
CAMP_00051,Engagement,TikTok,Feed,Mobile,Windows,Image,1080x1080,Short,False,Trust,54,18-24,Male,Business Professionals,$50K-$100K,High,True,2025-02-23,1,Sunday,19,12,3,0.57,5000,29,0,16.53,0.0,40.34,67,5.92,Finance,Low,0.58,0.57,0.0,0.0,0.0,-16.53
CAMP_00052,Conversions,Facebook,Display Network,Tablet,iOS,Carousel,1080x1080,Medium,True,Trust,62,18-24,All,Business Professionals,$50K-$100K,Low,True,2024-09-15,3,Sunday,8,15,7,0.86,29151,865,28,743.9,9671.13,62.31,53,3.3,E-commerce,Low,2.967,0.86,3.237,26.57,13.0,8927.23
CAMP_00053,Engagement,Twitter,Search,Mobile,Other,Video,1920x1080,Short,True,Urgency,24,35-44,Female,Students,<$50K,Medium,False,2024-09-25,3,Wednesday,21,21,7,1.85,388220,10810,96,19998.5,45044.98,60.35,130,2.44,SaaS,Medium,2.785,1.85,0.888,208.32,2.25,25046.48
CAMP_00054,App Installs,Facebook,Stories,Tablet,iOS,Text,1080x1080,Short,True,Neutral,57,65+,Female,Health & Fitness,$100K-$200K,Medium,False,2024-07-03,3,Wednesday,2,28,6,0.74,36081,168,3,124.32,583.31,41.49,86,2.79,E-commerce,Medium,0.466,0.74,1.786,41.44,4.69,458.99
CAMP_00055,Conversions,Facebook,Search,Desktop,Android,Image,300x250,Medium,False,Curiosity,6,25-34,Female,Tech Enthusiasts,>$200K,Medium,True,2024-11-17,4,Sunday,14,63,7,0.87,198049,2984,67,2596.08,65638.74,39.57,59,1.21,Finance,High,1.507,0.87,2.245,38.75,25.28,63042.66
CAMP_00056,App Installs,Facebook,Sidebar,Mobile,Android,Carousel,1080x1080,Short,True,Joy,83,45-54,Female,Shoppers,$100K-$200K,Medium,False,2025-08-25,3,Monday,21,37,4,3.37,84815,810,10,2729.7,7428.81,65.65,54,2.87,SaaS,High,0.955,3.37,1.235,272.97,2.72,4699.11
CAMP_00057,Brand Awareness,Facebook,Feed,Mobile,Windows,Image,728x90,Short,True,Trust,83,25-34,Male,Health & Fitness,<$50K,Low,False,2024-11-13,4,Wednesday,11,7,3,1.25,53827,389,2,486.25,631.72,65.06,39,1.45,Healthcare,High,0.723,1.25,0.514,243.12,1.3,145.47
CAMP_00058,Brand Awareness,TikTok,Feed,Desktop,iOS,Video,728x90,Long,True,Trust,76,25-34,Male,Students,>$200K,Medium,False,2024-06-12,2,Wednesday,19,7,5,1.97,35921,1239,18,2440.83,23653.43,57.9,29,1.38,Healthcare,Low,3.449,1.97,1.453,135.6,9.69,21212.6
CAMP_00059,Brand Awareness,Facebook,In-Stream Video,Mobile,Android,Image,1920x1080,Long,False,Joy,32,35-44,Female,Business Professionals,$50K-$100K,High,True,2025-10-01,4,Wednesday,9,69,5,0.76,11383,181,4,137.56,2979.55,39.01,145,3.26,Finance,Medium,1.59,0.76,2.21,34.39,21.66,2841.99
CAMP_00060,Lead Generation,Facebook,Search,Mobile,Android,Image,728x90,Long,False,Fear,25,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,False,2024-09-05,3,Thursday,11,81,4,0.96,129886,1059,7,1016.64,904.31,63.12,95,3.04,Gaming,Low,0.815,0.96,0.661,145.23,0.89,-112.33
CAMP_00061,Lead Generation,Google Ads,Stories,Mobile,Android,Image,320x50,Short,True,Neutral,64,25-34,Female,Tech Enthusiasts,$50K-$100K,Medium,False,2025-11-17,4,Monday,16,32,7,3.86,62056,2232,171,8615.52,20747.88,51.09,74,2.17,E-commerce,High,3.597,3.86,7.661,50.38,2.41,12132.36
CAMP_00062,Lead Generation,Google Ads,Search,Desktop,Windows,Video,300x250,Short,True,Neutral,4,25-34,All,Gamers,$50K-$100K,Medium,False,2025-04-30,2,Wednesday,5,52,6,1.56,120733,6061,658,9455.16,284523.42,38.77,116,2.3,SaaS,Medium,5.02,1.56,10.856,14.37,30.09,275068.26
CAMP_00063,Conversions,LinkedIn,Search,Mobile,iOS,Carousel,1920x1080,Medium,False,Joy,39,25-34,Male,Students,<$50K,High,False,2024-10-19,4,Saturday,18,86,4,8.06,452915,3258,42,26259.48,22233.06,32.52,180,3.18,Finance,High,0.719,8.06,1.289,625.23,0.85,-4026.42
CAMP_00064,Lead Generation,Google Ads,Display Network,Desktop,Windows,Video,1920x1080,Long,True,Joy,2,45-54,Male,Business Professionals,>$200K,Medium,True,2024-12-06,4,Friday,5,74,8,7.48,58675,2673,336,19994.04,273916.19,36.87,170,3.0,SaaS,Medium,4.556,7.48,12.57,59.51,13.7,253922.15
CAMP_00065,Lead Generation,Google Ads,In-Stream Video,Mobile,macOS,Interactive,728x90,Short,True,Joy,23,25-34,Female,Business Professionals,<$50K,Medium,False,2025-08-25,3,Monday,20,25,6,7.52,5413,168,2,1263.36,196.05,62.34,67,2.82,E-commerce,Medium,3.104,7.52,1.19,631.68,0.16,-1067.31
CAMP_00066,Lead Generation,LinkedIn,Stories,Desktop,macOS,Video,1920x1080,Long,False,Trust,71,55-64,Male,Business Professionals,$100K-$200K,High,False,2025-07-03,3,Thursday,8,73,3,3.54,9500,73,7,258.42,6286.06,19.24,124,4.63,Healthcare,Low,0.768,3.54,9.589,36.92,24.32,6027.64
CAMP_00067,Brand Awareness,LinkedIn,Feed,Desktop,Windows,Story,1920x1080,Medium,True,Curiosity,84,18-24,Male,Shoppers,$50K-$100K,Medium,True,2025-01-24,1,Friday,13,75,6,10.45,15906,428,16,4472.6,8532.91,51.88,101,2.97,SaaS,Low,2.691,10.45,3.738,279.54,1.91,4060.31
CAMP_00068,Conversions,TikTok,Search,Desktop,Android,Story,1080x1080,Long,True,Urgency,36,18-24,Male,Students,$50K-$100K,Medium,False,2025-11-03,4,Monday,8,47,6,1.85,12268,346,13,640.1,3085.49,51.1,60,2.12,Education,Low,2.82,1.85,3.757,49.24,4.82,2445.39
CAMP_00069,Brand Awareness,Facebook,Stories,Mobile,Android,Image,1920x1080,Short,True,Joy,60,18-24,Female,Students,$100K-$200K,Medium,False,2024-09-24,3,Tuesday,13,49,7,0.85,36566,581,2,493.85,1329.72,60.64,95,3.77,SaaS,Medium,1.589,0.85,0.344,246.92,2.69,835.87
CAMP_00070,Engagement,Twitter,Search,Tablet,Other,Story,1080x1080,Short,True,Urgency,53,45-54,All,Shoppers,$50K-$100K,High,False,2024-04-03,2,Wednesday,11,3,7,1.71,7525,79,0,135.09,0.0,41.29,141,2.99,Healthcare,Low,1.05,1.71,0.0,0.0,0.0,-135.09
CAMP_00071,Conversions,Instagram,Stories,Desktop,macOS,Text,1920x1080,Medium,False,Urgency,17,18-24,Male,Tech Enthusiasts,$50K-$100K,Low,False,2025-10-10,4,Friday,5,6,5,1.74,5000,179,5,311.46,2278.28,41.35,126,3.19,Finance,Low,3.58,1.74,2.793,62.29,7.31,1966.82
CAMP_00072,Brand Awareness,TikTok,Feed,Desktop,Android,Video,1920x1080,Medium,True,Urgency,86,35-44,Male,Business Professionals,<$50K,Medium,False,2025-07-20,3,Sunday,0,14,6,1.33,141722,2978,42,3960.74,18356.09,34.58,116,2.9,Healthcare,High,2.101,1.33,1.41,94.3,4.63,14395.35
CAMP_00073,Brand Awareness,LinkedIn,Stories,Mobile,macOS,Interactive,1920x1080,Medium,True,Urgency,71,45-54,Female,Shoppers,$50K-$100K,Medium,False,2025-10-15,4,Wednesday,19,13,5,7.42,70967,1900,20,14098.0,4995.69,66.1,81,2.93,SaaS,Medium,2.677,7.42,1.053,704.9,0.35,-9102.31
CAMP_00074,Conversions,Facebook,Search,Mobile,macOS,Video,1080x1080,Long,True,Fear,87,35-44,Female,Health & Fitness,$100K-$200K,High,True,2025-06-06,2,Friday,11,56,7,0.67,186715,4374,304,2930.58,117023.64,34.19,67,2.68,Healthcare,High,2.343,0.67,6.95,9.64,39.93,114093.06
CAMP_00075,Conversions,Instagram,Display Network,Mobile,macOS,Video,300x250,Long,True,Urgency,78,18-24,All,Shoppers,$100K-$200K,Low,False,2024-06-27,2,Thursday,3,76,4,3.58,19245,416,4,1489.28,534.88,64.87,96,1.64,Gaming,Medium,2.162,3.58,0.962,372.32,0.36,-954.4
CAMP_00076,Conversions,Google Ads,Stories,Desktop,Windows,Image,320x50,Short,True,Joy,74,45-54,Female,Shoppers,$50K-$100K,Low,False,2024-09-22,3,Sunday,13,88,2,6.67,5000,23,1,153.41,313.23,34.82,85,2.98,Education,Medium,0.46,6.67,4.348,153.41,2.04,159.82
CAMP_00077,Conversions,Google Ads,Feed,Mobile,macOS,Video,1920x1080,Medium,True,Trust,65,25-34,Male,Tech Enthusiasts,$50K-$100K,High,True,2024-08-25,3,Sunday,2,7,5,5.33,30411,324,19,1726.92,14902.19,54.25,90,2.55,Finance,Low,1.065,5.33,5.864,90.89,8.63,13175.27
CAMP_00078,Brand Awareness,Facebook,Stories,Desktop,macOS,Video,1080x1080,Medium,True,Fear,60,18-24,Male,Students,<$50K,Medium,True,2024-05-10,2,Friday,14,34,8,1.35,12438,605,42,816.75,18523.24,46.89,81,2.02,SaaS,High,4.864,1.35,6.942,19.45,22.68,17706.49
CAMP_00079,Lead Generation,Google Ads,Display Network,Mobile,iOS,Story,1920x1080,Long,False,Curiosity,81,45-54,Female,Tech Enthusiasts,$50K-$100K,Medium,False,2025-05-12,2,Monday,1,40,1,5.31,94968,241,3,1279.71,710.83,72.9,67,1.36,Education,Medium,0.254,5.31,1.245,426.57,0.56,-568.88
CAMP_00080,Brand Awareness,Instagram,Stories,Desktop,Other,Story,320x50,Medium,False,Curiosity,40,18-24,Female,Students,$100K-$200K,Medium,True,2025-11-04,4,Tuesday,0,72,5,3.92,213605,5102,141,19999.84,98624.31,33.61,213,2.03,Healthcare,Medium,2.389,3.92,2.764,141.84,4.93,78624.47
CAMP_00081,App Installs,LinkedIn,Search,Mobile,Android,Carousel,300x250,Medium,True,Trust,78,35-44,Female,Tech Enthusiasts,$50K-$100K,High,False,2025-03-20,1,Thursday,7,72,3,7.14,12190,92,2,656.88,901.07,44.46,130,4.43,Healthcare,Low,0.755,7.14,2.174,328.44,1.37,244.19
CAMP_00082,Conversions,LinkedIn,Stories,Tablet,Android,Image,1080x1080,Short,True,Trust,49,25-34,Female,Business Professionals,$100K-$200K,Low,False,2025-12-07,4,Sunday,5,74,7,3.64,42212,2534,95,9223.76,42097.37,68.08,95,1.78,E-commerce,Medium,6.003,3.64,3.749,97.09,4.56,32873.61
